artist,gender,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,artistRole,title,medium,creditLine,year,acquisitionYear,width,height,units,thumbnailUrl,artwork_url,artist_url,medium_normalized,name_normalized
"Rigby, Elizabeth",Female,1809,1893,"Norwich, United Kingdom","London, United Kingdom",artist,[title not known] Verso: Sketch,Graphite and watercolour on paper. Verso: graphite and watercolour on paper,Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997,246,287,mm,http://www.tate.org.uk/art/images/work/T/T09/T09794_8.jpg,http://www.tate.org.uk/art/artworks/rigby-title-not-known-verso-sketch-t09794,http://www.tate.org.uk/art/artists/elizabeth-rigby-lady-eastlake-2555,Graphite and Watercolor,Elizabeth Rigby
"Rigby, Elizabeth",Female,1809,1893,"Norwich, United Kingdom","London, United Kingdom",artist,[title not known],Graphite and watercolour on paper,Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997,377,272,mm,http://www.tate.org.uk/art/images/work/T/T09/T09795_8.jpg,http://www.tate.org.uk/art/artworks/rigby-title-not-known-t09795,http://www.tate.org.uk/art/artists/elizabeth-rigby-lady-eastlake-2555,Graphite and Watercolor,Elizabeth Rigby
"Rigby, Elizabeth",Female,1809,1893,"Norwich, United Kingdom","London, United Kingdom",artist,[title not known],Graphite and watercolour on paper,Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997,372,273,mm,http://www.tate.org.uk/art/images/work/T/T09/T09796_8.jpg,http://www.tate.org.uk/art/artworks/rigby-title-not-known-t09796,http://www.tate.org.uk/art/artists/elizabeth-rigby-lady-eastlake-2555,Graphite and Watercolor,Elizabeth Rigby
"Rigby, Elizabeth",Female,1809,1893,"Norwich, United Kingdom","London, United Kingdom",artist,[title not known],"Graphite, watercolour and chalk on paper",Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997,378,272,mm,http://www.tate.org.uk/art/images/work/T/T09/T09802_8.jpg,http://www.tate.org.uk/art/artworks/rigby-title-not-known-t09802,http://www.tate.org.uk/art/artists/elizabeth-rigby-lady-eastlake-2555,Graphite and Watercolor,Elizabeth Rigby
"Rigby, Elizabeth",Female,1809,1893,"Norwich, United Kingdom","London, United Kingdom",artist,[title not known],Graphite and watercolour on paper,Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997,350,263,mm,http://www.tate.org.uk/art/images/work/T/T09/T09803_8.jpg,http://www.tate.org.uk/art/artworks/rigby-title-not-known-t09803,http://www.tate.org.uk/art/artists/elizabeth-rigby-lady-eastlake-2555,Graphite and Watercolor,Elizabeth Rigby
"Rigby, Elizabeth",Female,1809,1893,"Norwich, United Kingdom","London, United Kingdom",artist,[title not known] Verso: Sketch,Watercolour and graphite on paper. Verso: watercolour on paper,Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997,180,256,mm,http://www.tate.org.uk/art/images/work/T/T09/T09805_8.jpg,http://www.tate.org.uk/art/artworks/rigby-title-not-known-verso-sketch-t09805,http://www.tate.org.uk/art/artists/elizabeth-rigby-lady-eastlake-2555,Graphite and Watercolor,Elizabeth Rigby
"Rigby, Elizabeth",Female,1809,1893,"Norwich, United Kingdom","London, United Kingdom",artist,[title not known],Graphite and watercolour on paper,Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997,256,179,mm,http://www.tate.org.uk/art/images/work/T/T09/T09806_8.jpg,http://www.tate.org.uk/art/artworks/rigby-title-not-known-t09806,http://www.tate.org.uk/art/artists/elizabeth-rigby-lady-eastlake-2555,Graphite and Watercolor,Elizabeth Rigby
"Lim, Kim",Female,1936,1997,Singapore,"London, United Kingdom",artist,Ring,Intaglio print on paper,Purchased 1976,1970,1976,225,241,mm,http://www.tate.org.uk/art/images/work/P/P07/P07182_8.jpg,http://www.tate.org.uk/art/artworks/lim-ring-p07182,http://www.tate.org.uk/art/artists/kim-lim-1512,Print,Kim Lim
"Arbus, Diane",Female,1923,1971,"New York, United States","New York, United States",artist,"Identical Twins, Roselle, N.J. 1967","Photograph, gelatine silver print on paper",ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1967,2009,375,386,mm,,http://www.tate.org.uk/art/artworks/arbus-identical-twins-roselle-nj-1967-ar00506,http://www.tate.org.uk/art/artists/diane-arbus-5271,Photograph,Diane Arbus
"Arbus, Diane",Female,1923,1971,"New York, United States","New York, United States",artist,"Boy with a Straw Hat Waiting to March in Pro-War Parade, N.Y.C. 1967","Photograph, gelatine silver print on paper",ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1967,2009,372,373,mm,,http://www.tate.org.uk/art/artworks/arbus-boy-with-a-straw-hat-waiting-to-march-in-pro-war-parade-nyc-1967-ar00507,http://www.tate.org.uk/art/artists/diane-arbus-5271,Photograph,Diane Arbus
